timestamp,Open,High,Low,Close,Volume,SMA_20,SMA_50,SMA_200,EMA_12,EMA_26,MACD,MACD_Signal,RSI,Stoch_RSI,BB_Upper,BB_Lower,ATR,OBV,ADI,Fear_Greed_Index
2024-03-03,3421.39,3491.8,3360.0,3487.81,341631.531,,,,,,,,,,,,0.0,341631.531,320947.0118999988,33
2024-03-04,3487.8,3640.94,3423.78,3627.76,715360.6361,,,,,,,,,,,,0.0,1056992.1671,949473.4871619265,33
2024-03-05,3627.75,3822.04,3200.0,3553.65,1392904.864,,,,,,,,,,,,0.0,-335912.6969000001,1140392.188056789,33
2024-03-06,3553.66,3900.0,3499.4,3818.59,969494.71,,,,,,,,,,,,0.0,633582.0130999999,1715845.13898989,33
2024-03-07,3818.58,3933.81,3735.0,3868.76,540780.675,,,,,,,,,,,,0.0,1174362.6881,1902742.3784609945,33
2024-03-08,3868.76,3993.75,3820.0,3883.36,646399.2589,,,,,,,,,,,,0.0,1820761.947,1727777.4452462213,33
2024-03-09,3883.37,3942.0,3870.01,3905.21,254839.1386,,,,,,,,,,,,0.0,2075601.0855999999,1722148.9658688905,33
2024-03-10,3905.2,3964.67,3791.26,3878.47,356664.68,,,,,,,,,,,,0.0,1718936.4056,1724226.3047005597,33
2024-03-11,3878.47,4086.23,3722.95,4064.8,721554.5139,,,,,,,,,,,,0.0,2440490.9195,2360651.3689590883,33
2024-03-12,4064.8,4093.92,3828.98,3979.96,632787.3941,,,,,,,,,,,,0.0,1807703.5253999997,2449070.5934234275,33
2024-03-13,3979.97,4083.0,3932.23,4004.79,482305.7766,,,,,,,,,,,,0.0,2290009.3019999997,2430996.5227343645,33
2024-03-14,4004.79,4010.98,3723.0,3881.7,648237.5245,,,,3842.5711293943214,,,,,,,,0.0,1641771.7774999996,2497220.385401181,33
2024-03-15,3881.69,3934.02,3570.0,3742.19,947537.4071,,,,3827.127878718272,,,,,,,,0.0,694234.3703999997,2446097.824345624,33
2024-03-16,3742.19,3781.12,3468.8,3523.09,548288.1569,,,,3780.3528204539225,,,,40.03768521914318,,,,266.6335714285714,145946.21349999972,2088425.47199289,33
2024-03-17,3523.09,3678.68,3412.0,3644.71,517790.9936,,,,3759.484694230242,,,,47.32373753356187,,,,266.636887755102,663737.2070999998,2474302.8608786864,33
2024-03-18,3644.7,3645.02,3454.09,3520.46,570901.2851,,,,3722.711664348666,,,,41.74320360291141,,,,261.22925291545187,92835.92199999979,2300308.487129307,33
2024-03-19,3520.47,3548.09,3150.88,3158.64,1049629.6936,,,,3635.931408295025,,,,30.47373841036024,,,,270.94216342149105,-956793.7716000003,1291690.482169249,33
2024-03-20,3158.65,3535.24,3056.56,3516.53,1207322.8201,,,,3617.5619608650213,,,,46.00239000041882,,,,285.78058031995596,250529.04849999957,2404632.881261183,33
2024-03-21,3516.53,3587.32,3412.0,3492.85,602755.2072,,,,3598.375505347326,,,,45.28173934483521,,,,277.89053886853054,-352226.1587000004,2357806.9291617977,33
2024-03-22,3492.84,3542.52,3250.0,3336.35,558848.888,3694.4840000000004,,,3558.063889140045,,,,40.73943039128316,,4169.626433903772,3219.3415660962287,278.9355003779212,-911075.0467000004,2128895.1495906226,33
2024-03-23,3336.35,3435.48,3270.08,3329.53,323675.9448,3686.5700000000006,,,3522.9048292723455,,,,40.5485402453044,,4180.133838707821,3193.0061612921795,270.82582177949826,-1234750.9915000005,2037897.9825216997,33
